measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,359,Rabies,2,Percent,2021,0.00026725370888944184,0.00038800693453382244,0.00016326653402021934
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,359,Rabies,3,Rate,2021,10.400997000828019,14.828181641832161,6.377243627844835
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,360,Intestinal nematode infections,1,Number,2021,408937.6133161114,628585.9346760157,258644.57382965082
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,360,Intestinal nematode infections,2,Percent,2021,0.0005441035816866648,0.000806217018935904,0.0003571442601061198
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,360,Intestinal nematode infections,3,Rate,2021,21.286502003389952,32.719894971951696,13.463271804090347
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,361,Ascariasis,1,Number,2021,231601.01707273233,354878.8756658725,147625.88555591943
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,361,Ascariasis,2,Percent,2021,0.0003083428569339168,0.0004649614365493119,0.00020547219369914448
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,361,Ascariasis,3,Rate,2021,12.055568755165998,18.472572959394125,7.684396363435444
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,362,Trichuriasis,1,Number,2021,73714.98888177011,122295.87041299889,40828.99030769491
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,362,Trichuriasis,2,Percent,2021,9.801844802147691e-05,0.00015319870248071754,5.61122700464134e-05
2,DALYs (Disability-Adjusted Life Years),44636,Low-middle SDI,3,Both,22,All ages,362,Trichuriasis,3,Rate,2021,3.8370993702130236,6.365888599590104,2.1252786627609925
