"Cause Name","total_attention_score","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","metric_id","metric_name","year","DALY","upper","lower"
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",158,"South Asia",3,"Both",22,"All ages",588,1,"Number",2023,10228.2324,19556.80489,3878.25418
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",31,"Central Europe, Eastern Europe, and Central Asia",3,"Both",22,"All ages",588,1,"Number",2023,19657.92947,22987.39912,17139.28335
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",588,1,"Number",2023,65826.88347,162618.2286,17040.62191
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",137,"North Africa and Middle East",3,"Both",22,"All ages",588,1,"Number",2023,11221.36631,18084.57039,5811.015713
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",64,"High-income",3,"Both",22,"All ages",588,1,"Number",2023,20306.63242,25208.67778,16329.08086
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",103,"Latin America and Caribbean",3,"Both",22,"All ages",588,1,"Number",2023,50434.18317,58913.20265,42987.52274
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44586,"G20",3,"Both",22,"All ages",588,1,"Number",2023,192144.3173,238001.19,131782.6109
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",251,"Melanesia",3,"Both",22,"All ages",588,1,"Number",2023,11.89831889,27.25128411,4.865853471
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",478,"World Bank Regions",3,"Both",22,"All ages",588,1,"Number",2023,325026.1283,468199.9155,191425.6418
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44587,"African Union",3,"Both",22,"All ages",588,1,"Number",2023,74132.07137,174375.8154,22294.33393
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",479,"WHO region",3,"Both",22,"All ages",588,1,"Number",2023,324536.2064,467693.8535,190937.3043
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44591,"World Bank Income Levels",3,"Both",22,"All ages",588,1,"Number",2023,325026.1283,468199.9155,191425.6418
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44534,"Commonwealth",3,"Both",22,"All ages",588,1,"Number",2023,42679.07759,86202.10886,16951.63175
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44635,"High SDI",3,"Both",22,"All ages",588,1,"Number",2023,80223.3808,104315.6074,63646.52091
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44634,"High-middle SDI",3,"Both",22,"All ages",588,1,"Number",2023,93887.90556,115011.566,70679.2376
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44637,"Low SDI",3,"Both",22,"All ages",588,1,"Number",2023,65035.66116,159127.4428,16785.96776
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",94216,"Association of Southeast Asian Nations",3,"Both",22,"All ages",588,1,"Number",2023,45278.76675,87380.53505,12664.65404
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",252,"Micronesia",3,"Both",22,"All ages",588,1,"Number",2023,0.226573295,0.332021171,0.141580039
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44639,"Middle SDI",3,"Both",22,"All ages",588,1,"Number",2023,63245.96474,100000.305,27470.7957
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",94366,"Sahel Region",3,"Both",22,"All ages",588,1,"Number",2023,25530.41087,66314.01373,6122.812503
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",4745,"League of Arab States",3,"Both",22,"All ages",588,1,"Number",2023,10848.94663,17755.56899,5522.748745
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",257,"Polynesia",3,"Both",22,"All ages",588,1,"Number",2023,0.24256343,0.383553981,0.144381757
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44636,"Low-middle SDI",3,"Both",22,"All ages",588,1,"Number",2023,22633.22724,40414.03849,8085.966038
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44642,"Nordic Region",3,"Both",22,"All ages",588,1,"Number",2023,291.7654039,391.2379402,211.0985686
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",4743,"European Union",3,"Both",22,"All ages",588,1,"Number",2023,11862.40425,14063.19185,10243.16151
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44584,"OECD Countries",3,"Both",22,"All ages",588,1,"Number",2023,67894.3384,83248.00348,56509.9938
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",94217,"Gulf Cooperation Council",3,"Both",22,"All ages",588,1,"Number",2023,46.60150052,65.62459038,29.92168609
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",94215,"Organization of Islamic Cooperation",3,"Both",22,"All ages",588,1,"Number",2023,69011.43733,137278.7408,22694.3492
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",4,"Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",400,1,"Number",2023,608965.7276,759467.6758,474199.5591
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",158,"South Asia",3,"Both",22,"All ages",400,1,"Number",2023,2801149.825,3788063.698,1950226.526
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",400,1,"Number",2023,1710576.32,2581412.109,1049503.276
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",31,"Central Europe, Eastern Europe, and Central Asia",3,"Both",22,"All ages",400,1,"Number",2023,38776.99558,47400.82333,31407.17613
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",64,"High-income",3,"Both",22,"All ages",400,1,"Number",2023,54044.38428,73167.90032,38332.59144
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",137,"North Africa and Middle East",3,"Both",22,"All ages",400,1,"Number",2023,301212.8492,412436.2863,199652.5319
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",103,"Latin America and Caribbean",3,"Both",22,"All ages",400,1,"Number",2023,43618.84541,53978.66217,33831.16372
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44586,"G20",3,"Both",22,"All ages",400,1,"Number",2023,2382941.085,3039174.197,1824169.312
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44587,"African Union",3,"Both",22,"All ages",400,1,"Number",2023,1906290.535,2843460.757,1166850.947
