"GBD.term","total_attention_score","weighted_nhits","weighted_attention_score_impact_factor","weighted_n","nhit"
"Drug-susceptible tuberculosis",1,3,9.8,1,3
"Dysthymia",6,0.00117508813160987,0.230739895598779,0.0054053698715907,1
"Eating disorders",110,109.392857142857,199.488614822435,21.6056425714808,473
"Ebola",2,0,0.605607476635514,0.0186915887850467,0
"Ectopic pregnancy",9,2.05380666707898,8.94255937914586,1.09081732483561,5
"Edentulism",6,0.00117508813160987,0.246159192117402,0.00522039557497557,1
"Encephalitis",3,0.00117508813160987,0.0926330994822746,0.00297818540557128,1
"Endocarditis",15,0.00441133408630243,2.21147548346352,0.109929244229335,5
"Endocrine, metabolic, blood, and immune disorders",287,834.225651579308,1570.74351941128,73.6574887379752,2081
"Endometriosis",63,386.218474149739,282.47173231316,20.8797899887162,729
"Esophageal cancer",19,26.5701763352926,176.008840960978,5.99911430388442,56
"Extensively drug-resistant tuberculosis",26,20.3987104252699,34.5139682183471,4.02122888287141,45
"Eye cancer",35,6.50454725683527,130.446680709303,5.75923774405381,30
"Female infertility",32,3.68093151804134,51.5586571139223,1.57050975104822,33
"Food-borne trematodiases",0,0,0,0,0
"Fungal skin diseases",6,0,6.76246520874752,0.403976143141153,0
"G6PD deficiency",0,0,0,0,0
"G6PD trait",1,0,0.00330913388485565,0.000168833361472227,0
"Gallbladder and biliary diseases",13,7.01860465116279,38.4701515792437,3.01601577622084,12
"Gallbladder and biliary tract cancer",11,7.82377406887013,65.8158187657819,2.50469929859985,21
"Gastritis and duodenitis",72,7.28343636025537,6.95776637585796,1.19455801047229,33
"Gastroesophageal reflux disease",85,107.376284570448,65.8824770424306,4.76904425116514,510
"Genital herpes",1,0,0.113485113835377,0.00175131348511384,0
"Genital prolapse",13,0.369596140763189,2.72972056679755,0.0418333158237002,15
"Glaucoma",87,206.956225408671,152.54222417592,11.1323720643796,873
"Gonococcal infection",1,0,0.113485113835377,0.00175131348511384,0
"Gout",129,522.854466512744,816.190054355163,35.7399522288385,1415
"Guinea worm disease",0,0,0,0,0
"Gynecological diseases",312,1930.1112103037,1322.67313721,87.468011751922,2951
"Headache disorders",88,536.525704349911,301.97344109957,22.8553750817944,899
"Hemoglobinopathies and hemolytic anemias",18,158.514010507881,69.943764475391,12.0054227738168,175
"Hemolytic disease and other neonatal jaundice",0,0,0,0,0
"Hepatoblastoma",33,48.4276556776557,323.21820939078,18.9428744742044,103
"HIV/AIDS",24,39.7523501762632,70.1972798968802,9.26222270262947,61
"HIV/AIDS - Drug-susceptible Tuberculosis",1,3,9.8,1,3
"HIV/AIDS - Extensively drug-resistant Tuberculosis",0,0,0,0,0
"HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",0,0,0,0,0
"HIV/AIDS resulting in other diseases",5,16,18.1,3,30
"Hodgkin lymphoma",17,83.3184234858992,125.079733572058,7.91550257453215,138
"Hookworm disease",1,0,0.302803738317757,0.00934579439252336,0
"Hypertensive heart disease",16,0.0128679756159706,0.703260592239857,0.019282217021968,15
"Idiopathic developmental intellectual disability",0,0,0,0,0
"Idiopathic epilepsy",4,0,0.241791044776119,0.00373134328358209,0
"Indirect maternal deaths",0,0,0,0,0
"Inflammatory bowel disease",360,2267.85330320555,1949.43755748306,100.377626482576,6815
"Inguinal, femoral, and abdominal hernia",83,675.219626597354,81.8272688501278,11.4539685317712,2446
"Interstitial lung disease and pulmonary sarcoidosis",23,49.9083056478405,132.386469987757,6.76171360454524,65
"Intestinal nematode infections",1,0,0.302803738317757,0.00934579439252336,0
"Intracerebral hemorrhage",30,6.27058880078307,52.3528104739088,5.3211601138781,19
"Invasive Non-typhoidal Salmonella (iNTS)",0,0,0,0,0
"Iodine deficiency",1,0,0.113485113835377,0.00175131348511384,0
"Ischemic heart disease",77,73.4949239110771,50.7856835460757,2.58962798664118,486
"Ischemic stroke",70,337.055721668512,363.301318545699,21.5459701768015,677
"Kidney cancer",14,0.511249852638624,2.69147979119756,0.203667882600324,23
"Klinefelter syndrome",0,0,0,0,0
"Larynx cancer",2,0,0.0787723785166241,0.00255754475703325,0
"Late maternal deaths",0,0,0,0,0
"Latent tuberculosis infection",26,20.3987104252699,34.5139682183471,4.02122888287141,45
"Leishmaniasis",5,30,85.3166666666667,4.05555555555556,30
"Leprosy",11,101.5,268.75,9.5,111
"Leukemia",101,2137.95736929012,808.640198370656,45.3191759741266,2372
"Lip and oral cavity cancer",10,12.7345084214649,48.980789175812,1.87120836104398,40
"Liver cancer",102,423.18027338612,740.332479239088,53.9904133552278,636
"Liver cancer due to alcohol use",1,3,51.1,1,3
"Liver cancer due to hepatitis B",8,13.5,56.65,5.5,17
"Liver cancer due to hepatitis C",1,1,25.7,1,1
"Liver cancer due to NASH",45,357.151175088132,282.911229954809,27.4919711080321,493
"Liver cancer due to other causes",0,0,0,0,0
"Low back pain",16,0,0.967164179104478,0.0149253731343284,0
"Lower extremity peripheral arterial disease",37,115.06238464378,99.5498449612403,9.92358803986711,271
"Lower respiratory infections",12,0.0140105078809107,6.52972158296543,0.387772116217237,8
"Lymphatic filariasis",5,4.33333333333333,14,1.66666666666667,13
"Major depressive disorder",123,837.514874916916,582.045656376834,28.6528695245512,1302
"Malaria",16,154,199.930276158611,9.0679826567687,158
"Male infertility",11,0.642156001505938,8.40400406304222,0.540907827121822,14
"Malignant neoplasm of bone and articular cartilage",3,0.00117508813160987,0.0926330994822746,0.00297818540557128,1
"Malignant skin melanoma",21,125.910663885647,76.1646590293467,3.51266161765339,394
"Maternal abortion and miscarriage",15,0.00117508813160987,0.954798014352493,0.0213613205314771,1
"Maternal deaths aggravated by HIV/AIDS",0,0,0,0,0
"Maternal disorders",106,62.2633150885439,210.777649479728,18.2689740045019,154
"Maternal hemorrhage",15,0,1.20824999045692,0.161885902965988,0
"Maternal hypertensive disorders",46,46.875,173.655251050996,11.607844779552,108
"Maternal obstructed labor and uterine rupture",1,0,0.175,0.05,0
"Maternal sepsis and other maternal infections",0,0,0,0,0
"Measles",9,0,0.597067203387615,0.00921400005227802,0
"Meningitis",3,1.14403223098875,0.929466312425271,0.145783544473867,9
"Mesothelioma",1,0,5.3,1,0
"Migraine",81,536.522102077313,301.703315014713,22.8486909395443,895
"Motor neuron disease",1,0,0.0306163021868787,0.00099403578528827,0
"Multidrug-resistant tuberculosis without extensive drug resistance",26,20.3987104252699,34.5139682183471,4.02122888287141,45
"Multiple myeloma",45,153.215553266587,250.960352858309,12.804811632738,229
"Multiple sclerosis",88,838.288614011921,773.901020155047,34.3829320085544,1030
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",16,66.5018656716418,144.159949612551,7.00756766041913,70
"Myocarditis",5,2.00117508813161,3.73310912868375,0.511471449498293,5
"Nasopharynx cancer",1,0,0.0362244897959184,0.00510204081632653,0
"Near vision loss",0,0,0,0,0
"Neck pain",21,2.33855372890831,4.82607465198774,0.880680087809498,11
"Neonatal disorders",38,59.0666666666667,187.533333333333,13.6666666666667,163
"Neonatal encephalopathy due to birth asphyxia and trauma",0,0,0,0,0
"Neonatal preterm birth",37,53.0666666666667,183.133333333333,12.6666666666667,157
"Neonatal sepsis and other neonatal infections",1,6,4.4,1,6
"Neural tube defects",2,0,0.0766519008923803,0.00180309727396141,0
"Neuroblastoma and other peripheral nervous cell tumors",11,94,363.5,11,94
"Non-Hodgkin lymphoma",44,11.0527327537669,33.368571124731,2.69633440658886,95
"Non-melanoma skin cancer",49,410.613749834578,235.965576004233,17.3556438351297,856
"Non-melanoma skin cancer (basal-cell carcinoma)",29,353.08219643652,171.560870186118,11.6794520344677,708
"Non-melanoma skin cancer (squamous-cell carcinoma)",19,57.5315533980583,64.3653196288564,5.67491302828346,148
"Non-rheumatic calcific aortic valve disease",0,0,0,0,0
"Non-rheumatic degenerative mitral valve disease",0,0,0,0,0
"Non-rheumatic valvular heart disease",14,0,0.860705269532616,0.0259863157427764,0
"Nonalcoholic fatty liver disease including cirrhosis",45,357.151175088132,282.911229954809,27.4919711080321,493
"Onchocerciasis",0,0,0,0,0
"Opioid use disorders",1,3,4.4,1,3
"Oral disorders",129,437.551386953846,201.22888719504,46.9686946435092,677
"Orofacial clefts",5,18.5,43.15,4.5,19
"Osteoarthritis",344,753.653907837894,1922.20731275798,62.3917217507138,2453
"Osteoarthritis hand",21,46.5,263.7625,7.875,78
"Osteoarthritis hip",53,139.7323117338,267.11396978799,7.12352155957897,785
"Osteoarthritis knee",67,151.289798598949,332.270717361382,13.1750716664107,760
"Osteoarthritis other",6,1.5,41.7875,0.825,9
"Other benign and in situ neoplasms",132,12.0012787723785,18.019277737052,1.14993031605893,13
"Other cardiomyopathy",12,62.3214285714286,143.484187730758,7.89385117864243,80
"Other cardiovascular and circulatory diseases",103,369.388257399626,171.281754374282,16.1613341481915,612
"Other chromosomal abnormalities",9,7,8.1,3,21
"Other chronic respiratory diseases",67,218.425968992248,654.546260290513,42.0857410126721,288
"Other congenital birth defects",8,33,13.439054090163,3.00570198877734,33
"Other digestive diseases",415,494.291162433427,1757.42448846697,96.4828289154192,780
"Other direct maternal disorders",10,6.66666666666667,12.9208955223881,2.66853233830846,20
"Other drug use disorders",5,0.5,18.4402817116464,1.50314444402031,1
"Other endocrine, metabolic, blood, and immune disorders",148,212.755967380455,506.43721623771,30.9131421617727,664
"Other eye cancers",5,5.5,6.98061630218688,1.75099403578529,16
"Other gynecological diseases",68,301.477161912349,310.693624227187,18.0271220018262,479
"Other hemoglobinopathies and hemolytic anemias",0,0,0,0,0
"Other intestinal infectious diseases",8,12.0139534883721,3.53959313884137,1.01427250450784,15
"Other leukemia",29,157.17329424307,197.28546294832,10.5835815442335,282
"Other malignant neoplasms",315,0.0162520069676151,17.1581008263137,0.385112059100084,7
"Other mental disorders",72,252.333333333333,513.363817422835,34.1733921361564,433
"Other musculoskeletal disorders",64,23.3725661934964,94.6256238672031,14.4732992563136,63
"Other neglected tropical diseases",16,154,199.930276158611,9.0679826567687,158
"Other neonatal disorders",0,0,0,0,0
