cause_name,cause_id,total_attention_score,analysis_type,time_strata
Acne vulgaris,661,578800,all,NA
Acne vulgaris,661,215,sliding_3yr,2011
Acne vulgaris,661,13909,sliding_3yr,2012
Acne vulgaris,661,13909,sliding_3yr,2013
Acne vulgaris,661,13694,sliding_3yr,2014
Acne vulgaris,661,15842,sliding_3yr,2016
Acne vulgaris,661,15842,sliding_3yr,2017
Acne vulgaris,661,15842,sliding_3yr,2018
Acne vulgaris,661,2780,sliding_3yr,2019
Acne vulgaris,661,22945,sliding_3yr,2020
Acne vulgaris,661,57367,sliding_3yr,2021
Acne vulgaris,661,54587,sliding_3yr,2022
Acne vulgaris,661,215,year,2013
Acne vulgaris,661,13694,year,2014
Acne vulgaris,661,15842,year,2018
Acne vulgaris,661,2780,year,2021
Acne vulgaris,661,20165,year,2022
Acne vulgaris,661,34422,year,2023
Acute glomerulonephritis,588,2146,all,NA
Acute glomerulonephritis,588,2146,sliding_3yr,2019
Acute glomerulonephritis,588,2146,sliding_3yr,2020
Acute glomerulonephritis,588,2146,sliding_3yr,2021
Acute glomerulonephritis,588,2146,year,2021
Acute hepatitis,400,1182,all,NA
Acute hepatitis,400,1182,sliding_3yr,2019
Acute hepatitis,400,1182,sliding_3yr,2020
Acute hepatitis,400,1182,sliding_3yr,2021
Acute hepatitis,400,1182,year,2021
Acute hepatitis A,401,591,all,NA
Acute hepatitis A,401,591,sliding_3yr,2019
Acute hepatitis A,401,591,sliding_3yr,2020
Acute hepatitis A,401,591,sliding_3yr,2021
Acute hepatitis A,401,591,year,2021
Acute hepatitis B,402,0,all,NA
Acute hepatitis C,403,0,all,NA
Acute hepatitis E,404,0,all,NA
Acute lymphoid leukemia,845,307552,all,NA
Acute lymphoid leukemia,845,5133,sliding_3yr,2007
Acute lymphoid leukemia,845,5271,sliding_3yr,2008
Acute lymphoid leukemia,845,6967,sliding_3yr,2009
Acute lymphoid leukemia,845,1834,sliding_3yr,2010
Acute lymphoid leukemia,845,6118,sliding_3yr,2011
Acute lymphoid leukemia,845,6960,sliding_3yr,2012
Acute lymphoid leukemia,845,6960,sliding_3yr,2013
Acute lymphoid leukemia,845,2538,sliding_3yr,2014
Acute lymphoid leukemia,845,203,sliding_3yr,2015
Acute lymphoid leukemia,845,16963,sliding_3yr,2016
Acute lymphoid leukemia,845,16963,sliding_3yr,2017
Acute lymphoid leukemia,845,16760,sliding_3yr,2018
Acute lymphoid leukemia,845,7366,sliding_3yr,2019
Acute lymphoid leukemia,845,7366,sliding_3yr,2020
Acute lymphoid leukemia,845,7366,sliding_3yr,2021
Acute lymphoid leukemia,845,5133,year,2009
Acute lymphoid leukemia,845,138,year,2010
Acute lymphoid leukemia,845,1696,year,2011
Acute lymphoid leukemia,845,0,year,2012
Acute lymphoid leukemia,845,4422,year,2013
Acute lymphoid leukemia,845,2538,year,2014
Acute lymphoid leukemia,845,203,year,2017
Acute lymphoid leukemia,845,16760,year,2018
Acute lymphoid leukemia,845,7366,year,2021
Acute myeloid leukemia,847,64120,all,NA
Acute myeloid leukemia,847,247,sliding_3yr,2011
Acute myeloid leukemia,847,247,sliding_3yr,2012
Acute myeloid leukemia,847,247,sliding_3yr,2013
Acute myeloid leukemia,847,175,sliding_3yr,2015
Acute myeloid leukemia,847,175,sliding_3yr,2016
Acute myeloid leukemia,847,175,sliding_3yr,2017
Acute myeloid leukemia,847,37206,sliding_3yr,2019
Acute myeloid leukemia,847,37206,sliding_3yr,2020
Acute myeloid leukemia,847,37206,sliding_3yr,2021
Acute myeloid leukemia,847,247,year,2013
Acute myeloid leukemia,847,175,year,2017
Acute myeloid leukemia,847,37206,year,2021
African trypanosomiasis,350,0,all,NA
Age-related and other hearing loss,674,45735546,all,NA
Age-related and other hearing loss,674,3980,sliding_3yr,2006
Age-related and other hearing loss,674,3980,sliding_3yr,2007
Age-related and other hearing loss,674,4327,sliding_3yr,2008
Age-related and other hearing loss,674,347,sliding_3yr,2009
Age-related and other hearing loss,674,347,sliding_3yr,2010
Age-related and other hearing loss,674,2978,sliding_3yr,2012
Age-related and other hearing loss,674,3284,sliding_3yr,2013
Age-related and other hearing loss,674,10836,sliding_3yr,2014
Age-related and other hearing loss,674,7858,sliding_3yr,2015
Age-related and other hearing loss,674,7552,sliding_3yr,2016
Age-related and other hearing loss,674,497474,sliding_3yr,2017
Age-related and other hearing loss,674,828233,sliding_3yr,2018
Age-related and other hearing loss,674,3874371,sliding_3yr,2019
Age-related and other hearing loss,674,3628395,sliding_3yr,2020
Age-related and other hearing loss,674,13898880,sliding_3yr,2021
Age-related and other hearing loss,674,10852742,sliding_3yr,2022
Age-related and other hearing loss,674,3980,year,2008
Age-related and other hearing loss,674,347,year,2010
Age-related and other hearing loss,674,2978,year,2014
Age-related and other hearing loss,674,306,year,2015
Age-related and other hearing loss,674,7552,year,2016
Age-related and other hearing loss,674,497474,year,2019
Age-related and other hearing loss,674,330759,year,2020
Age-related and other hearing loss,674,3046138,year,2021
Age-related and other hearing loss,674,251498,year,2022
Age-related and other hearing loss,674,10601244,year,2023
Age-related macular degeneration,672,15527354,all,NA
Age-related macular degeneration,672,192,sliding_3yr,2005
Age-related macular degeneration,672,96,sliding_3yr,2006
Age-related macular degeneration,672,84436,sliding_3yr,2008
Age-related macular degeneration,672,103976,sliding_3yr,2009
Age-related macular degeneration,672,106280,sliding_3yr,2010
Age-related macular degeneration,672,120364,sliding_3yr,2011
Age-related macular degeneration,672,100824,sliding_3yr,2012
Age-related macular degeneration,672,115804,sliding_3yr,2013
Age-related macular degeneration,672,17284,sliding_3yr,2014
