GBD.term,n_total_studies,weighted_nhits,weighted_attention_score_impact_factor,weighted_n,nhit,total_attention_score
Ebola,2,0,0.605607477,0.018691589,0,1745
Ectopic pregnancy,72,16.43045334,71.54047503,8.726538599,40,183448
Edentulism,12,0.002350176,0.492318384,0.010440791,2,83979
Encephalitis,9,0.003525264,0.277899298,0.008934556,3,3495
Endocarditis,120,0.035290673,17.69180387,0.879433954,40,122856
"Endocrine, metabolic, blood, and immune disorders",9021,38623.5034,65846.62224,2611.186947,89945,224689245
Endometriosis,1953,11972.7727,8756.623702,647.2734897,22599,68548688
Esophageal cancer,76,94.42105801,662.8868054,22.60137198,206,154530
Extensively drug-resistant tuberculosis,134,141.8532348,234.1435214,24.6090834,282,228030
Eye cancer,61,32.7618882,305.6454624,14.01891682,93,53228
Female infertility,256,29.44745214,412.4692569,12.56407801,264,1424744
Food-borne trematodiases,0,0,0,0,0,0
Fungal skin diseases,58,14.86501674,39.10515066,2.270204786,140,6490947
G6PD deficiency,0,0,0,0,0,0
G6PD trait,1,0,0.003309134,1.68833e-4,0,466
Gallbladder and biliary diseases,134,131.8688725,211.8398056,10.71623094,422,49466064
Gallbladder and biliary tract cancer,45,44.63832548,365.5519351,13.84173548,106,755146
Gastritis and duodenitis,640,72.13164814,62.62949207,11.63584127,270,7593065
Gastroesophageal reflux disease,1955,2469.654545,1515.296972,109.6880178,11730,114840380
Genital herpes,2,0,0.226970228,0.003502627,0,816
Genital prolapse,42,1.10996351,8.21749674,0.128452746,46,51659
Glaucoma,2349,5587.818086,4118.640053,300.5740457,23571,56252826
Gonococcal infection,1,0,0.113485114,0.001751313,0,234
Gout,4515,18299.90633,28566.6519,1250.898328,49525,68118050
Guinea worm disease,0,0,0,0,0,0
Gynecological diseases,7252,45484.51739,33123.46584,2206.259724,71104,98771838
Headache disorders,2539,16632.19957,9353.88327,708.3361557,27761,97972185
Hemoglobinopathies and hemolytic anemias,95,1091.514011,459.4937645,78.50542277,1158,13829
Hemolytic disease and other neonatal jaundice,0,0,0,0,0,0
Hepatoblastoma,759,1113.836081,7434.018816,435.6861129,2369,5339473
HIV/AIDS,116,141.5141011,279.404907,35.57077867,227,113955
HIV/AIDS - Drug-susceptible Tuberculosis,1,3,9.8,1,3,267
HIV/AIDS - Extensively drug-resistant Tuberculosis,0,0,0,0,0,0
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,0,0,0,0,0,0
HIV/AIDS resulting in other diseases,15,48,54.3,9,90,774
Hodgkin lymphoma,238,1166.457929,1751.11627,110.817036,1932,776006
Hookworm disease,1,0,0.302803738,0.009345794,0,1745
Hypertensive heart disease,80,0.064339878,3.516302961,0.096411085,75,1576370
Idiopathic developmental intellectual disability,0,0,0,0,0,0
Idiopathic epilepsy,4,0,0.241791045,0.003731343,0,510
Indirect maternal deaths,0,0,0,0,0,0
Inflammatory bowel disease,5843,49806.21837,44675.44562,2036.01037,112578,78438111
"Inguinal, femoral, and abdominal hernia",945,9348.393893,1121.289674,155.2582014,33789,8699936
Interstitial lung disease and pulmonary sarcoidosis,276,598.8996678,1588.63764,81.14056325,780,339984
Intestinal nematode infections,1,0,0.302803738,0.009345794,0,1745
Intracerebral hemorrhage,450,94.05883201,785.2921571,79.81740171,285,672570
Invasive Non-typhoidal Salmonella (iNTS),0,0,0,0,0,0
Iodine deficiency,1,0,0.113485114,0.001751313,0,209
Ischemic heart disease,176,74.75835615,68.73562517,3.950795192,1607,536484
Ischemic stroke,2030,9774.615928,10535.73824,624.8331351,19633,81088814
Kidney cancer,70,2.556249263,13.45739896,1.018339413,115,206405
Klinefelter syndrome,0,0,0,0,0,0
Larynx cancer,2,0,0.078772379,0.002557545,0,341
Late maternal deaths,0,0,0,0,0,0
Latent tuberculosis infection,124,141.79716,231.1154841,24.51562546,276,210580
Leishmaniasis,7,31,116.2333333,5.111111111,31,70819
Leprosy,77,710.5,1881.25,66.5,777,219170
Leukemia,1315,21598.72847,11335.72885,621.7116488,24958,1972076
Lip and oral cavity cancer,46,63.67254211,244.7198035,9.352805559,200,68031
Liver cancer,2094,10842.42502,15493.08722,1213.247172,15881,31718019
