"age_group_id","cause_id","location_id","measure_id","metric_id","sex_id","year_id","acause","age_group_name","cause_name","expected","location_name","location_type","measure","measure_name","metric_name","sex","val","upper","lower"
22,948,44639,2,1,2,1990,"hiv_tb_other","All Ages","HIV/AIDS - Drug-susceptible Tuberculosis",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",38352.2701507735,47219.929260734,30828.6107939234
22,948,44639,2,1,2,2023,"hiv_tb_other","All Ages","HIV/AIDS - Drug-susceptible Tuberculosis",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",187660.216290745,293086.288871201,110729.324186146
22,949,44634,2,1,1,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",3590.49473111759,9191.14392279638,744.894751417493
22,949,44634,2,1,1,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",115469.728332442,264798.260192513,44588.5040901472
22,949,44634,2,1,2,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",1874.63456014921,5168.66511168484,448.920712658246
22,949,44634,2,1,2,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",99538.0256412521,245349.889641839,34136.7374947743
22,949,44635,2,1,1,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",8219.21448227764,19549.7169049284,2313.79671403579
22,949,44635,2,1,1,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",23402.9077794604,44501.7943475227,9127.94103540616
22,949,44635,2,1,2,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",1708.45330351519,4093.95858012873,472.890615337544
22,949,44635,2,1,2,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",11299.7332255616,20726.9760978739,4462.82123567779
