"gbd_condition","ontology_id","channels","channel_details"
"Gynecological diseases","MONDO:0002263","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0002263"
"HIV/AIDS","MONDO:0012268","lexical","search='HIV/AIDS' label='AIDS'"
"HIV/AIDS - Drug-susceptible Tuberculosis","MONDO:0012268","lexical","search='HIV/AIDS - Drug-susceptible Tuberculosis' label='AIDS'"
"HIV/AIDS - Drug-susceptible Tuberculosis","MONDO:0018076","lexical","search='HIV/AIDS - Drug-susceptible Tuberculosis' label='tuberculosis'"
"HIV/AIDS - Extensively drug-resistant Tuberculosis","MONDO:0012268","lexical","search='HIV/AIDS - Extensively drug-resistant Tuberculosis' label='AIDS'"
"HIV/AIDS - Extensively drug-resistant Tuberculosis","MONDO:0018076","lexical","search='HIV/AIDS - Extensively drug-resistant Tuberculosis' label='tuberculosis'"
"HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance","EFO:0020001","lexical","search='HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance' label='drug resistance'"
"HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance","MONDO:0012268","lexical","search='HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance' label='AIDS'"
"HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance","MONDO:0018076","lexical","search='HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance' label='tuberculosis'"
"HIV/AIDS resulting in other diseases","MONDO:0000001","lexical","search='HIV/AIDS resulting in other diseases' label='disease'"
"HIV/AIDS resulting in other diseases","MONDO:0012268","lexical","search='HIV/AIDS resulting in other diseases' label='AIDS'"
"Headache disorders","HP:0002315","lexical","search='Headache disorders' label='Headache'"
"Headache disorders","MONDO:0021146","legacy_second_part|lexical","search='Headache disorders' label='headache disorder' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0021146"
"Hemoglobinopathies and hemolytic anemias","MONDO:0002280","lexical","search='Hemoglobinopathies and hemolytic anemias' label='anemia'"
"Hemolytic disease and other neonatal jaundice","EFO:1000739","legacy_second_part|lexical","search='Hemolytic disease and other neonatal jaundice' label='neonatal jaundice' ;; source_col=MAPPED_TRAIT_URI...4 raw=EFO:1000739"
"Hemolytic disease and other neonatal jaundice","HP:0000952","lexical","search='Hemolytic disease and other neonatal jaundice' label='Jaundice'"
"Hemolytic disease and other neonatal jaundice","MONDO:0000001","lexical","search='Hemolytic disease and other neonatal jaundice' label='disease'"
"Hodgkin lymphoma","MONDO:0004665","lexical","search='Hodgkin lymphoma' label='nodular sclerosis classical Hodgkin lymphoma'"
"Hodgkin lymphoma","MONDO:0004952","legacy_first_part","source_col=EFO 2 raw=MONDO:0004952"
"Hodgkin lymphoma","MONDO:0005062","lexical","search='Hodgkin lymphoma' label='lymphoma'"
"Hodgkin lymphoma","MONDO:0018908","lexical","search='Hodgkin lymphoma' label='non-Hodgkin lymphoma'"
"Hodgkin lymphoma","MONDO:0044887","lexical","search='Hodgkin lymphoma' label='central nervous system non-hodgkin lymphoma'"
"Hookworm disease","MONDO:0000001","lexical","search='Hookworm disease' label='disease'"
"Hypertensive heart disease","MONDO:0000001","lexical","search='Hypertensive heart disease' label='disease'"
"Hypertensive heart disease","MONDO:0001302","lexical","search='Hypertensive heart disease' label='hypertensive heart disease'"
"Idiopathic developmental intellectual disability","HP:0001249","lexical","search='Idiopathic developmental intellectual disability' label='Intellectual disability'"
"Idiopathic epilepsy","MONDO:0005027","lexical","search='Idiopathic epilepsy' label='epilepsy'"
"Inflammatory bowel disease","MONDO:0000001","lexical","search='Inflammatory bowel disease' label='disease'"
"Inflammatory bowel disease","MONDO:0005265","lexical","search='Inflammatory bowel disease' label='inflammatory bowel disease'"
"Inguinal, femoral, and abdominal hernia","HP:0100790","lexical","search='Inguinal, femoral, and abdominal hernia' label='Hernia'"
"Interstitial lung disease and pulmonary sarcoidosis","MONDO:0000001","lexical","search='Interstitial lung disease and pulmonary sarcoidosis' label='disease'"
"Interstitial lung disease and pulmonary sarcoidosis","MONDO:0015925","legacy_first_part|lexical","search='Interstitial lung disease and pulmonary sarcoidosis' label='interstitial lung disease' ;; source_col=EFO 3 raw=MONDO:0015925"
"Interstitial lung disease and pulmonary sarcoidosis","MONDO:0019338","lexical","search='Interstitial lung disease and pulmonary sarcoidosis' label='sarcoidosis'"
"Intestinal nematode infections","EFO:0000544","lexical","search='Intestinal nematode infections' label='infection'"
"Intracerebral hemorrhage","EFO:0010177","lexical","search='Intracerebral hemorrhage' label='lobar intracerebral hemorrhage'"
"Intracerebral hemorrhage","EFO:0010178","lexical","search='Intracerebral hemorrhage' label='non-lobar intracerebral hemorrhage'"
"Intracerebral hemorrhage","MONDO:0013792","legacy_first_part|lexical","search='Intracerebral hemorrhage' label='intracerebral hemorrhage' ;; source_col=EFO 2 raw=MONDO:0013792"
"Intracerebral hemorrhage","MP:0001914","lexical","search='Intracerebral hemorrhage' label='hemorrhage'"
"Iodine deficiency","EFO:0008614","lexical","search='Iodine deficiency' label='Iodine Deficiency Hypothyroidism'"
"Ischemic heart disease","MONDO:0000001","lexical","search='Ischemic heart disease' label='disease'"
"Ischemic stroke","HP:0002140","lexical","search='Ischemic stroke' label='Ischemic stroke'"
"Kidney cancer","MONDO:0002367","legacy_first_part|lexical","search='Kidney cancer' label='kidney cancer' ;; source_col=EFO 1 raw=MONDO:0002367"
"Kidney cancer","MONDO:0004992","lexical","search='Kidney cancer' label='cancer'"
"Larynx cancer","MONDO:0002352","lexical","search='Larynx cancer' label='larynx cancer'"
"Larynx cancer","MONDO:0004992","lexical","search='Larynx cancer' label='cancer'"
"Latent tuberculosis infection","EFO:0000544","lexical","search='Latent tuberculosis infection' label='infection'"
"Latent tuberculosis infection","MONDO:0018076","lexical","search='Latent tuberculosis infection' label='tuberculosis'"
"Leishmaniasis","MONDO:0005445","lexical","search='Leishmaniasis' label='visceral leishmaniasis'"
"Leishmaniasis","MONDO:0005446","lexical","search='Leishmaniasis' label='cutaneous leishmaniasis'"
"Leprosy","MONDO:0005124","legacy_first_part|lexical","search='Leprosy' label='leprosy' ;; source_col=EFO 5 raw=MONDO:0005124"
"Leukemia","EFO:0010788","lexical","search='Leukemia' label='leukemia inhibitory factor receptor measurement'"
"Leukemia","EFO:0021910","lexical","search='Leukemia' label='induced myeloid leukemia cell differentiation protein Mcl-1 measurement'"
"Leukemia","EFO:0801403","lexical","search='Leukemia' label='B-cell lymphoma/leukemia 10 measurement'"
"Leukemia","EFO:0801764","lexical","search='Leukemia' label='leukemia inhibitory factor measurement'"
"Leukemia","EFO:0802546","lexical","search='Leukemia' label='feline leukemia virus subgroup C receptor-related protein 1 measurement'"
"Leukemia","MONDO:0000870","lexical","search='Leukemia' label='childhood acute lymphoblastic leukemia'"
"Leukemia","MONDO:0000871","lexical","search='Leukemia' label='T-cell childhood acute lymphocytic leukemia'"
"Leukemia","MONDO:0004600","lexical","search='Leukemia' label='monocytic leukemia'"
"Leukemia","MONDO:0004643","lexical","search='Leukemia' label='myeloid leukemia'"
"Leukemia","MONDO:0004947","lexical","search='Leukemia' label='B-cell acute lymphoblastic leukemia'"
"Leukemia","MONDO:0004948","lexical","search='Leukemia' label='B-cell chronic lymphocytic leukemia'"
"Leukemia","MONDO:0004967","lexical","search='Leukemia' label='acute lymphoblastic leukemia'"
"Leukemia","MONDO:0005059","legacy_first_part|lexical","search='Leukemia' label='leukemia' ;; source_col=EFO 2 raw=MONDO:0005059"
"Leukemia","MONDO:0005402","lexical","search='Leukemia' label='lymphoid leukemia'"
"Leukemia","MONDO:0011996","lexical","search='Leukemia' label='chronic myeloid leukemia'"
"Leukemia","MONDO:0018874","lexical","search='Leukemia' label='acute myeloid leukemia'"
"Leukemia","MONDO:0600030","lexical","search='Leukemia' label='B-cell acute lymphoblastic leukemia with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)'"
"Leukemia","OBA:2040787","lexical","search='Leukemia' label='level of B-cell lymphoma/leukemia 10 in blood serum'"
"Leukemia","OBA:2040788","lexical","search='Leukemia' label='level of B-cell lymphoma/leukemia 11A in blood serum'"
"Leukemia","OBA:2041593","lexical","search='Leukemia' label='level of Friend leukemia integration 1 transcription factor in blood serum'"
"Leukemia","OBA:2041883","lexical","search='Leukemia' label='level of hepatic leukemia factor in blood serum'"
"Leukemia","OBA:2042193","lexical","search='Leukemia' label='level of leukemia inhibitory factor in blood serum'"
"Leukemia","OBA:2042377","lexical","search='Leukemia' label='level of myeloid leukemia factor 1 in blood serum'"
"Leukemia","OBA:2043813","lexical","search='Leukemia' label='level of T-cell leukemia/lymphoma protein 1A in blood serum'"
"Leukemia","OBA:2043814","lexical","search='Leukemia' label='level of T-cell leukemia/lymphoma protein 1B in blood serum'"
"Leukemia","OBA:2050638","lexical","search='Leukemia' label='level of Friend leukemia integration 1 transcription factor in blood'"
"Leukemia","OBA:2050948","lexical","search='Leukemia' label='level of T-cell leukemia/lymphoma protein 1A in blood'"
"Leukemia","OBA:2050949","lexical","search='Leukemia' label='level of T-cell leukemia/lymphoma protein 1B in blood'"
"Leukemia","OBA:2051605","lexical","search='Leukemia' label='level of pre-B-cell leukemia transcription factor-interacting protein 1 in blood'"
"Lip and oral cavity cancer","MONDO:0004992","lexical","search='Lip and oral cavity cancer' label='cancer'"
"Lip and oral cavity cancer","MONDO:0005515","lexical","search='Lip and oral cavity cancer' label='oral cavity cancer'"
"Liver cancer","MONDO:0002691","legacy_first_part|lexical","search='Liver cancer' label='liver cancer' ;; source_col=EFO 1 raw=MONDO:0002691"
"Liver cancer","MONDO:0004992","lexical","search='Liver cancer' label='cancer'"
"Liver cancer due to NASH","MONDO:0002691","lexical","search='Liver cancer due to NASH' label='liver cancer'"
"Liver cancer due to NASH","MONDO:0004992","lexical","search='Liver cancer due to NASH' label='cancer'"
"Liver cancer due to alcohol use","MONDO:0002691","lexical","search='Liver cancer due to alcohol use' label='liver cancer'"
"Liver cancer due to alcohol use","MONDO:0004992","lexical","search='Liver cancer due to alcohol use' label='cancer'"
"Liver cancer due to hepatitis B","HP:0012115","lexical","search='Liver cancer due to hepatitis B' label='Hepatitis'"
"Liver cancer due to hepatitis B","MONDO:0002691","lexical","search='Liver cancer due to hepatitis B' label='liver cancer'"
"Liver cancer due to hepatitis B","MONDO:0004992","lexical","search='Liver cancer due to hepatitis B' label='cancer'"
"Liver cancer due to hepatitis C","HP:0012115","lexical","search='Liver cancer due to hepatitis C' label='Hepatitis'"
"Liver cancer due to hepatitis C","MONDO:0002691","lexical","search='Liver cancer due to hepatitis C' label='liver cancer'"
"Liver cancer due to hepatitis C","MONDO:0004992","lexical","search='Liver cancer due to hepatitis C' label='cancer'"
"Liver cancer due to other causes","MONDO:0002691","lexical","search='Liver cancer due to other causes' label='liver cancer'"
"Liver cancer due to other causes","MONDO:0004992","lexical","search='Liver cancer due to other causes' label='cancer'"
"Low back pain","HP:0003418","lexical","search='Low back pain' label='Back pain'"
"Low back pain","HP:0003419","legacy_first_part|lexical","search='Low back pain' label='Low back pain' ;; source_col=EFO 2 raw=HP:0003419"
"Low back pain","HP:0012531","lexical","search='Low back pain' label='Pain'"
"Lower extremity peripheral arterial disease","MONDO:0000001","lexical","search='Lower extremity peripheral arterial disease' label='disease'"
"Lower extremity peripheral arterial disease","MONDO:0005386","legacy_first_part|lexical","search='Lower extremity peripheral arterial disease' label='peripheral arterial disease' ;; source_col=EFO 2 raw=MONDO:0005386"
"Lower respiratory infections","EFO:0000544","lexical","search='Lower respiratory infections' label='infection'"
"Major depressive disorder","MONDO:0002009","legacy_first_part|lexical","search='Major depressive disorder' label='major depressive disorder' ;; source_col=EFO 2 raw=MONDO:0002009"
"Major depressive disorder","MONDO:0002050","lexical","search='Major depressive disorder' label='depressive disorder'"
"Malaria","EFO:0010970","lexical","search='Malaria' label='severe malarial anemia'"
"Malaria","MONDO:0005136","lexical","search='Malaria' label='malaria'"
"Male infertility","MONDO:0005372","legacy_first_part|lexical","search='Male infertility' label='male infertility' ;; source_col=EFO 3 raw=MONDO:0005372"
"Male infertility","MONDO:0021124","lexical","search='Male infertility' label='female infertility'"
"Malignant neoplasm of bone and articular cartilage","MONDO:0005070","lexical","search='Malignant neoplasm of bone and articular cartilage' label='neoplasm'"
"Malignant skin melanoma","MONDO:0005105","lexical","search='Malignant skin melanoma' label='melanoma'"
"Maternal abortion and miscarriage","EFO:1001491","lexical","search='Maternal abortion and miscarriage' label='abortion'"
"Maternal abortion and miscarriage","HP:0005268","lexical","search='Maternal abortion and miscarriage' label='Miscarriage'"
"Maternal deaths aggravated by HIV/AIDS","MONDO:0012268","lexical","search='Maternal deaths aggravated by HIV/AIDS' label='AIDS'"
"Maternal hemorrhage","MP:0001914","lexical","search='Maternal hemorrhage' label='hemorrhage'"
"Maternal hypertensive disorders","HP:0008071","legacy_second_part","source_col=MAPPED_TRAIT_URI...3 raw=HP:0008071"
"Maternal hypertensive disorders","MONDO:0005044","lexical","search='Maternal hypertensive disorders' label='hypertensive disorder'"
"Maternal sepsis and other maternal infections","EFO:0000544","lexical","search='Maternal sepsis and other maternal infections' label='infection'"
"Maternal sepsis and other maternal infections","HP:0100806","lexical","search='Maternal sepsis and other maternal infections' label='Sepsis'"
"Measles","EFO:0008414","lexical","search='Measles' label='susceptibility to measles measurement'"
"Measles","EFO:0009342","lexical","search='Measles' label='Measles virus seropositivity'"
"Measles","EFO:0009355","lexical","search='Measles' label='Anti-measles virus IgG measurement'"
"Measles","MONDO:0004619","legacy_first_part|lexical","search='Measles' label='measles' ;; source_col=EFO 2 raw=MONDO:0004619"
"Meningitis","EFO:0008411","lexical","search='Meningitis' label='susceptibility to bacterial meningitis measurement'"
"Meningitis","MONDO:0004796","lexical","search='Meningitis' label='infectious meningitis'"
"Meningitis","MONDO:0006670","lexical","search='Meningitis' label='bacterial meningitis'"
"Meningitis","MONDO:0006913","lexical","search='Meningitis' label='pneumococcal meningitis'"
"Meningitis","MONDO:0007015","lexical","search='Meningitis' label='viral meningitis'"
"Meningitis","MONDO:0021108","legacy_first_part|lexical","search='Meningitis' label='meningitis' ;; source_col=EFO 1 raw=MONDO:0021108"
"Mesothelioma","MONDO:0003308","lexical","search='Mesothelioma' label='pleural mesothelioma'"
"Mesothelioma","MONDO:0005065","legacy_first_part|lexical","search='Mesothelioma' label='mesothelioma' ;; source_col=EFO 2 raw=MONDO:0005065"
"Mesothelioma","MONDO:0005112","lexical","search='Mesothelioma' label='malignant pleural mesothelioma'"
"Migraine","EFO:0009939","lexical","search='Migraine' label='Antimigraine preparation use measurement'"
"Migraine","MONDO:0005277","legacy_first_part|lexical","search='Migraine' label='migraine disorder' ;; source_col=EFO 3 raw=MONDO:0005277"
"Migraine","MONDO:0005475","lexical","search='Migraine' label='migraine with aura'"
"Migraine","MONDO:0011847","lexical","search='Migraine' label='migraine without aura, susceptibility to, 4'"
"Migraine","MONDO:0100431","lexical","search='Migraine' label='migraine without aura'"
"Migraine","OBA:2001026","lexical","search='Migraine' label='age of onset of migraine disorder'"
"Migraine","OBA:2001027","lexical","search='Migraine' label='age of onset of migraine with aura'"
"Migraine","OBA:2001028","lexical","search='Migraine' label='age of onset of migraine without aura'"
"Motor neuron disease","MONDO:0000001","lexical","search='Motor neuron disease' label='disease'"
"Motor neuron disease","MONDO:0020128","legacy_first_part","source_col=EFO 2 raw=MONDO:0020128"
"Multidrug-resistant tuberculosis without extensive drug resistance","EFO:0020001","lexical","search='Multidrug-resistant tuberculosis without extensive drug resistance' label='drug resistance'"
"Multidrug-resistant tuberculosis without extensive drug resistance","MONDO:0018076","lexical","search='Multidrug-resistant tuberculosis without extensive drug resistance' label='tuberculosis'"
"Multiple sclerosis","EFO:0803536","lexical","search='Multiple sclerosis' label='multiple sclerosis symptom measurement'"
"Multiple sclerosis","MONDO:0005301","legacy_first_part|lexical","search='Multiple sclerosis' label='multiple sclerosis' ;; source_col=EFO 1 raw=MONDO:0005301"
"Multiple sclerosis","OBA:2001029","lexical","search='Multiple sclerosis' label='age of onset of multiple sclerosis'"
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms","MONDO:0005070","lexical","search='Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms' label='neoplasm'"
"Myocarditis","MONDO:0004496","legacy_first_part|lexical","search='Myocarditis' label='myocarditis' ;; source_col=EFO 2 raw=MONDO:0004496"
"Nasopharynx cancer","MONDO:0004992","lexical","search='Nasopharynx cancer' label='cancer'"
"Nasopharynx cancer","MONDO:0005517","lexical","search='Nasopharynx cancer' label='pharynx cancer'"
"Neck pain","HP:0012531","lexical","search='Neck pain' label='Pain'"
"Neck pain","HP:0030833","legacy_first_part|lexical","search='Neck pain' label='Neck pain' ;; source_col=EFO 1 raw=HP:0030833"
"Neonatal encephalopathy due to birth asphyxia and trauma","EFO:0009446","lexical","search='Neonatal encephalopathy due to birth asphyxia and trauma' label='asphyxia'"
"Neonatal encephalopathy due to birth asphyxia and trauma","HP:0001298","lexical","search='Neonatal encephalopathy due to birth asphyxia and trauma' label='Encephalopathy'"
"Neonatal sepsis and other neonatal infections","EFO:0000544","lexical","search='Neonatal sepsis and other neonatal infections' label='infection'"
"Neonatal sepsis and other neonatal infections","HP:0040187","legacy_second_part|lexical","search='Neonatal sepsis and other neonatal infections' label='Neonatal sepsis' ;; source_col=MAPPED_TRAIT_URI...2 raw=HP:0040187"
"Neonatal sepsis and other neonatal infections","HP:0100806","lexical","search='Neonatal sepsis and other neonatal infections' label='Sepsis'"
"Neural tube defects","MONDO:0020705","lexical","search='Neural tube defects' label='neural tube defects, susceptibility to'"
"Neuroblastoma and other peripheral nervous cell tumors","MONDO:0005072","lexical","search='Neuroblastoma and other peripheral nervous cell tumors' label='neuroblastoma'"
"Non-Hodgkin lymphoma","MONDO:0005062","lexical","search='Non-Hodgkin lymphoma' label='lymphoma'"
"Non-Hodgkin lymphoma","MONDO:0018908","legacy_first_part|lexical","search='Non-Hodgkin lymphoma' label='non-Hodgkin lymphoma' ;; source_col=EFO 2 raw=MONDO:0018908"
"Non-Hodgkin lymphoma","MONDO:0044887","lexical","search='Non-Hodgkin lymphoma' label='central nervous system non-hodgkin lymphoma'"
"Non-melanoma skin cancer","MONDO:0002898","lexical","search='Non-melanoma skin cancer' label='skin cancer'"
"Non-melanoma skin cancer","MONDO:0004992","lexical","search='Non-melanoma skin cancer' label='cancer'"
"Non-melanoma skin cancer","MONDO:0005105","lexical","search='Non-melanoma skin cancer' label='melanoma'"
"Non-melanoma skin cancer (basal-cell carcinoma)","MONDO:0002898","lexical","search='Non-melanoma skin cancer (basal-cell carcinoma)' label='skin cancer'"
"Non-melanoma skin cancer (basal-cell carcinoma)","MONDO:0004992","lexical","search='Non-melanoma skin cancer (basal-cell carcinoma)' label='cancer'"
"Non-melanoma skin cancer (basal-cell carcinoma)","MONDO:0004993","lexical","search='Non-melanoma skin cancer (basal-cell carcinoma)' label='carcinoma'"
"Non-melanoma skin cancer (basal-cell carcinoma)","MONDO:0005105","lexical","search='Non-melanoma skin cancer (basal-cell carcinoma)' label='melanoma'"
"Non-melanoma skin cancer (basal-cell carcinoma)","MONDO:0020804","legacy_first_part","source_col=EFO 2 raw=MONDO:0020804"
"Non-melanoma skin cancer (squamous-cell carcinoma)","MONDO:0002898","lexical","search='Non-melanoma skin cancer (squamous-cell carcinoma)' label='skin cancer'"
"Non-melanoma skin cancer (squamous-cell carcinoma)","MONDO:0004992","lexical","search='Non-melanoma skin cancer (squamous-cell carcinoma)' label='cancer'"
"Non-melanoma skin cancer (squamous-cell carcinoma)","MONDO:0004993","lexical","search='Non-melanoma skin cancer (squamous-cell carcinoma)' label='carcinoma'"
"Non-melanoma skin cancer (squamous-cell carcinoma)","MONDO:0005096","legacy_first_part","source_col=EFO 2 raw=MONDO:0005096"
"Non-melanoma skin cancer (squamous-cell carcinoma)","MONDO:0005105","lexical","search='Non-melanoma skin cancer (squamous-cell carcinoma)' label='melanoma'"
"Non-rheumatic calcific aortic valve disease","MONDO:0000001","lexical","search='Non-rheumatic calcific aortic valve disease' label='disease'"
"Non-rheumatic degenerative mitral valve disease","MONDO:0000001","lexical","search='Non-rheumatic degenerative mitral valve disease' label='disease'"
"Non-rheumatic valvular heart disease","MONDO:0000001","lexical","search='Non-rheumatic valvular heart disease' label='disease'"
"Nonalcoholic fatty liver disease including cirrhosis","MONDO:0000001","lexical","search='Nonalcoholic fatty liver disease including cirrhosis' label='disease'"
"Nonalcoholic fatty liver disease including cirrhosis","MONDO:0004790","lexical","search='Nonalcoholic fatty liver disease including cirrhosis' label='fatty liver disease'"
"Opioid use disorders","EFO:0010702","legacy_second_part|lexical","search='Opioid use disorders' label='opioid use disorder' ;; source_col=MAPPED_TRAIT_URI...2 raw=EFO:0010702"
"Orofacial clefts","HP:0000202","legacy_second_part|lexical","search='Orofacial clefts' label='Orofacial cleft' ;; source_col=MAPPED_TRAIT_URI...2 raw=HP:0000202"
"Orofacial clefts","MONDO:0000358","legacy_second_part|lexical","search='Orofacial clefts' label='orofacial cleft' ;; source_col=MAPPED_TRAIT_URI...4 raw=MONDO:0000358"
"Osteoarthritis","EFO:0005890","lexical","search='Osteoarthritis' label='osteoarthritis biomarker measurement'"
"Osteoarthritis","EFO:0007942","lexical","search='Osteoarthritis' label='hip osteoarthritis symptom severity measurement'"
"Osteoarthritis","MONDO:0005178","legacy_first_part|lexical","search='Osteoarthritis' label='osteoarthritis' ;; source_col=EFO 1 raw=MONDO:0005178"
"Osteoarthritis","MONDO:0005416","lexical","search='Osteoarthritis' label='osteoarthritis, knee'"
"Osteoarthritis","MONDO:0006629","lexical","search='Osteoarthritis' label='osteoarthritis, hip'"
"Osteoarthritis","MONDO:0006630","lexical","search='Osteoarthritis' label='osteoarthritis, spine'"
"Osteoarthritis","MONDO:0006632","lexical","search='Osteoarthritis' label='osteoarthritis, hand'"
"Osteoarthritis","OBA:2001008","lexical","search='Osteoarthritis' label='age of onset of osteoarthritis'"
"Osteoarthritis hand","MONDO:0005178","lexical","search='Osteoarthritis hand' label='osteoarthritis'"
"Osteoarthritis hand","MONDO:0006632","legacy_first_part|lexical","search='Osteoarthritis hand' label='osteoarthritis, hand' ;; source_col=EFO 2 raw=MONDO:0006632"
"Osteoarthritis hip","MONDO:0005178","lexical","search='Osteoarthritis hip' label='osteoarthritis'"
"Osteoarthritis hip","MONDO:0006629","legacy_first_part|lexical","search='Osteoarthritis hip' label='osteoarthritis, hip' ;; source_col=EFO 4 raw=MONDO:0006629"
"Osteoarthritis knee","MONDO:0005178","lexical","search='Osteoarthritis knee' label='osteoarthritis'"
"Osteoarthritis knee","MONDO:0005416","legacy_first_part|lexical","search='Osteoarthritis knee' label='osteoarthritis, knee' ;; source_col=EFO 2 raw=MONDO:0005416"
"Osteoarthritis other","MONDO:0005178","lexical","search='Osteoarthritis other' label='osteoarthritis'"
"Osteoarthritis other","MONDO:0006630","legacy_first_part","source_col=EFO 1 raw=MONDO:0006630"
"Other benign and in situ neoplasms","MONDO:0004647","legacy_second_part","source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0004647"
"Other benign and in situ neoplasms","MONDO:0005070","lexical","search='Other benign and in situ neoplasms' label='neoplasm'"
"Other benign and in situ neoplasms","MONDO:0005165","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0005165"
"Other cardiomyopathy","MONDO:0004994","legacy_second_part|lexical","search='Other cardiomyopathy' label='cardiomyopathy' ;; source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0004994"
"Other cardiomyopathy","MONDO:0005336","lexical","search='Other cardiomyopathy' label='myopathy'"
"Other cardiovascular and circulatory diseases","MONDO:0000001","lexical","search='Other cardiovascular and circulatory diseases' label='disease'"
"Other chromosomal abnormalities","MONDO:0019040","legacy_second_part","source_col=MAPPED_TRAIT_URI...4 raw=MONDO:0019040"
"Other chromosomal abnormalities","PATO:0000461","lexical","search='Other chromosomal abnormalities' label='normal'"
"Other chronic respiratory diseases","EFO:0022941","legacy_second_part","source_col=MAPPED_TRAIT_URI...3 raw=EFO:0022941"
"Other chronic respiratory diseases","HP:0002086","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=HP:0002086"
"Other chronic respiratory diseases","MONDO:0000001","lexical","search='Other chronic respiratory diseases' label='disease'"
"Other congenital birth defects","MONDO:0002320","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0002320"
"Other congenital birth defects","MONDO:0005715","legacy_second_part","source_col=MAPPED_TRAIT_URI...5 raw=MONDO:0005715"
"Other congenital birth defects","MONDO:0018360","legacy_second_part","source_col=MAPPED_TRAIT_URI...7 raw=MONDO:0018360"
"Other congenital birth defects","MONDO:0019636","legacy_second_part","source_col=MAPPED_TRAIT_URI...6 raw=MONDO:0019636"
"Other congenital birth defects","MONDO:0019719","legacy_second_part","source_col=MAPPED_TRAIT_URI...4 raw=MONDO:0019719"
"Other digestive diseases","MONDO:0000001","lexical","search='Other digestive diseases' label='disease'"
"Other drug use disorders","EFO:0011049","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=EFO:0011049"
"Other eye cancers","MONDO:0002236","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0002236"
"Other eye cancers","MONDO:0004992","lexical","search='Other eye cancers' label='cancer'"
"Other gynecological diseases","MONDO:0000001","lexical","search='Other gynecological diseases' label='disease'"
"Other gynecological diseases","MONDO:0002263","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0002263"
"Other hemoglobinopathies and hemolytic anemias","MONDO:0002280","lexical","search='Other hemoglobinopathies and hemolytic anemias' label='anemia'"
"Other intestinal infectious diseases","MONDO:0000001","lexical","search='Other intestinal infectious diseases' label='disease'"
"Other intestinal infectious diseases","MONDO:0000916","legacy_second_part|lexical","search='Other intestinal infectious diseases' label='intestinal infectious disease' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0000916"
"Other intestinal infectious diseases","MONDO:0005550","lexical","search='Other intestinal infectious diseases' label='infectious disease'"
"Other leukemia","MONDO:0005059","legacy_second_part|lexical","search='Other leukemia' label='leukemia' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0005059"
"Other malignant neoplasms","MONDO:0005070","lexical","search='Other malignant neoplasms' label='neoplasm'"
"Other mental disorders","MONDO:0005084","legacy_second_part|lexical","search='Other mental disorders' label='mental disorder' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0005084"
"Other neglected tropical diseases","MONDO:0000001","lexical","search='Other neglected tropical diseases' label='disease'"
"Other neoplasms","MONDO:0005070","legacy_second_part|lexical","search='Other neoplasms' label='neoplasm' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0005070"
"Other neurological disorders","MONDO:0005071","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0005071"
"Other non-Hodgkin lymphoma","MONDO:0005062","lexical","search='Other non-Hodgkin lymphoma' label='lymphoma'"
"Other non-Hodgkin lymphoma","MONDO:0018908","lexical","search='Other non-Hodgkin lymphoma' label='non-Hodgkin lymphoma'"
"Other non-Hodgkin lymphoma","MONDO:0044887","legacy_first_part","source_col=EFO 2 raw=MONDO:0044887"
"Other non-rheumatic valve diseases","MONDO:0000001","lexical","search='Other non-rheumatic valve diseases' label='disease'"
"Other oral disorders","MONDO:0006858","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0006858"
"Other pharynx cancer","MONDO:0004992","lexical","search='Other pharynx cancer' label='cancer'"
"Other pharynx cancer","MONDO:0005517","legacy_second_part|lexical","search='Other pharynx cancer' label='pharynx cancer' ;; source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0005517"
