"gbd_condition","ontology_id","channels","channel_details"
"Benign and in situ cervical and uterine neoplasms","MONDO:0005070","lexical","search='Benign and in situ cervical and uterine neoplasms' label='neoplasm'"
"Benign and in situ cervical and uterine neoplasms","MONDO:0042487","legacy_second_part","source_col=MAPPED_TRAIT_URI...6 raw=MONDO:0042487"
"Benign and in situ intestinal neoplasms","MONDO:0005070","lexical","search='Benign and in situ intestinal neoplasms' label='neoplasm'"
"Benign prostatic hyperplasia","MONDO:0005043","lexical","search='Benign prostatic hyperplasia' label='hyperplasia'"
"Benign prostatic hyperplasia","MONDO:0010811","legacy_first_part|lexical","search='Benign prostatic hyperplasia' label='benign prostatic hyperplasia' ;; source_col=EFO 3 raw=MONDO:0010811"
"Bipolar disorder","MONDO:0004985","legacy_first_part|lexical","search='Bipolar disorder' label='bipolar disorder' ;; source_col=EFO 1 raw=MONDO:0004985"
"Bipolar disorder","OBA:2001019","lexical","search='Bipolar disorder' label='age of onset of bipolar disorder'"
"Bladder cancer","MONDO:0001187","legacy_first_part|lexical","search='Bladder cancer' label='urinary bladder cancer' ;; source_col=EFO 1 raw=MONDO:0001187"
"Bladder cancer","MONDO:0004992","lexical","search='Bladder cancer' label='cancer'"
"Blindness and vision loss","HP:0000572","legacy_first_part","source_col=EFO 5 raw=HP:0000572"
"Blindness and vision loss","HP:0000618","legacy_first_part|lexical","search='Blindness and vision loss' label='Blindness' ;; source_col=EFO 1 raw=HP:0000618"
"Brain and central nervous system cancer","MONDO:0001657","legacy_first_part","source_col=EFO 4 raw=MONDO:0001657"
"Brain and central nervous system cancer","MONDO:0002714","legacy_first_part|lexical","search='Brain and central nervous system cancer' label='central nervous system cancer' ;; source_col=EFO 1 raw=MONDO:0002714"
"Brain and central nervous system cancer","MONDO:0004992","lexical","search='Brain and central nervous system cancer' label='cancer'"
"Brain and central nervous system cancer","MONDO:0005872","lexical","search='Brain and central nervous system cancer' label='nervous system cancer'"
"Breast cancer","EFO:0005606","lexical","search='Breast cancer' label='family history of breast cancer'"
"Breast cancer","EFO:0009443","lexical","search='Breast cancer' label='BRCAX breast cancer'"
"Breast cancer","EFO:0009782","lexical","search='Breast cancer' label='progesterone-receptor positive breast cancer'"
"Breast cancer","MONDO:0000616","lexical","search='Breast cancer' label='progesterone-receptor negative breast cancer'"
"Breast cancer","MONDO:0000618","lexical","search='Breast cancer' label='Her2-receptor negative breast cancer'"
"Breast cancer","MONDO:0004992","lexical","search='Breast cancer' label='cancer'"
"Breast cancer","MONDO:0006512","lexical","search='Breast cancer' label='estrogen-receptor positive breast cancer'"
"Breast cancer","MONDO:0006513","lexical","search='Breast cancer' label='estrogen-receptor negative breast cancer'"
"Breast cancer","MONDO:0007254","lexical","search='Breast cancer' label='breast cancer'"
"Breast cancer","OBA:2040827","lexical","search='Breast cancer' label='level of breast cancer metastasis-suppressor 1-like protein in blood serum'"
"Breast cancer","OBA:2050192","lexical","search='Breast cancer' label='breast cancer anti-estrogen resistance protein 3 amount'"
"Bulimia nervosa","MONDO:0005452","legacy_first_part|lexical","search='Bulimia nervosa' label='bulimia nervosa' ;; source_col=EFO 2 raw=MONDO:0005452"
"Burkitt lymphoma","MONDO:0005062","lexical","search='Burkitt lymphoma' label='lymphoma'"
"Burkitt lymphoma","MONDO:0007243","legacy_first_part|lexical","search='Burkitt lymphoma' label='Burkitt lymphoma' ;; source_col=EFO 3 raw=MONDO:0007243"
"COVID-19","EFO:0600019","lexical","search='COVID-19' label='COVID-19 symptoms measurement'"
"COVID-19","EFO:0600020","lexical","search='COVID-19' label='time to remission of COVID-19 symptoms'"
"COVID-19","EFO:0803362","lexical","search='COVID-19' label='response to COVID-19 vaccine'"
"COVID-19","MONDO:0100096","legacy_first_part|lexical","search='COVID-19' label='COVID-19' ;; source_col=EFO 1 raw=MONDO:0100096"
"COVID-19","MONDO:0100233","lexical","search='COVID-19' label='long COVID-19'"
"Cannabis use disorders","EFO:0007585","lexical","search='Cannabis use disorders' label='Cannabis use'"
"Cardiomyopathy and myocarditis","MONDO:0004496","legacy_first_part|lexical","search='Cardiomyopathy and myocarditis' label='myocarditis' ;; source_col=EFO 6 raw=MONDO:0004496"
"Cardiomyopathy and myocarditis","MONDO:0004994","legacy_first_part|lexical","search='Cardiomyopathy and myocarditis' label='cardiomyopathy' ;; source_col=EFO 4 raw=MONDO:0004994"
"Cardiomyopathy and myocarditis","MONDO:0005336","lexical","search='Cardiomyopathy and myocarditis' label='myopathy'"
"Caries of deciduous teeth","EFO:0600095","legacy_first_part","source_col=EFO 1 raw=EFO:0600095"
"Caries of permanent teeth","EFO:0600096","legacy_first_part","source_col=EFO 1 raw=EFO:0600096"
"Cataract","HP:0011141","lexical","search='Cataract' label='Age-related cataract'"
"Cataract","HP:0011142","lexical","search='Cataract' label='Age-related nuclear cataract'"
"Cataract","MONDO:0004847","lexical","search='Cataract' label='senile cataract'"
"Cataract","MONDO:0005129","legacy_first_part|lexical","search='Cataract' label='cataract' ;; source_col=EFO 4 raw=MONDO:0005129"
"Cataract","MONDO:0005408","lexical","search='Cataract' label='diabetes mellitus type 2 associated cataract'"
"Cataract","OBA:2001004","lexical","search='Cataract' label='age of onset of cataract'"
"Cellulitis","MONDO:0005230","legacy_first_part|lexical","search='Cellulitis' label='cellulitis' ;; source_col=EFO 5 raw=MONDO:0005230"
"Cervical cancer","MONDO:0002974","lexical","search='Cervical cancer' label='cervical cancer'"
"Cervical cancer","MONDO:0004992","lexical","search='Cervical cancer' label='cancer'"
"Chagas disease","MONDO:0000001","lexical","search='Chagas disease' label='disease'"
"Chlamydial infection","EFO:0000544","lexical","search='Chlamydial infection' label='infection'"
"Chronic hepatitis B including cirrhosis","EFO:0008496","lexical","search='Chronic hepatitis B including cirrhosis' label='chronic hepatitis'"
"Chronic hepatitis B including cirrhosis","HP:0012115","lexical","search='Chronic hepatitis B including cirrhosis' label='Hepatitis'"
"Chronic hepatitis B including cirrhosis","MONDO:0005366","legacy_first_part","source_col=EFO 1 raw=MONDO:0005366"
"Chronic hepatitis C including cirrhosis","EFO:0008496","lexical","search='Chronic hepatitis C including cirrhosis' label='chronic hepatitis'"
"Chronic hepatitis C including cirrhosis","HP:0012115","lexical","search='Chronic hepatitis C including cirrhosis' label='Hepatitis'"
"Chronic kidney disease","EFO:0009909","lexical","search='Chronic kidney disease' label='stage 5 chronic kidney disease'"
"Chronic kidney disease","MONDO:0000001","lexical","search='Chronic kidney disease' label='disease'"
"Chronic kidney disease","MONDO:0005300","legacy_first_part|lexical","search='Chronic kidney disease' label='chronic kidney disease' ;; source_col=EFO 2 raw=MONDO:0005300"
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0000001","lexical","search='Chronic kidney disease due to diabetes mellitus type 1' label='disease'"
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0005015","lexical","search='Chronic kidney disease due to diabetes mellitus type 1' label='diabetes mellitus'"
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0005300","lexical","search='Chronic kidney disease due to diabetes mellitus type 1' label='chronic kidney disease'"
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0000001","lexical","search='Chronic kidney disease due to diabetes mellitus type 2' label='disease'"
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0005015","lexical","search='Chronic kidney disease due to diabetes mellitus type 2' label='diabetes mellitus'"
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0005300","lexical","search='Chronic kidney disease due to diabetes mellitus type 2' label='chronic kidney disease'"
"Chronic kidney disease due to glomerulonephritis","MONDO:0000001","lexical","search='Chronic kidney disease due to glomerulonephritis' label='disease'"
"Chronic kidney disease due to glomerulonephritis","MONDO:0001166","lexical","search='Chronic kidney disease due to glomerulonephritis' label='nephritis'"
"Chronic kidney disease due to glomerulonephritis","MONDO:0002462","legacy_first_part|lexical","search='Chronic kidney disease due to glomerulonephritis' label='glomerulonephritis' ;; source_col=EFO 1 raw=MONDO:0002462"
"Chronic kidney disease due to glomerulonephritis","MONDO:0005300","lexical","search='Chronic kidney disease due to glomerulonephritis' label='chronic kidney disease'"
"Chronic kidney disease due to hypertension","MONDO:0000001","lexical","search='Chronic kidney disease due to hypertension' label='disease'"
"Chronic kidney disease due to hypertension","MONDO:0005300","lexical","search='Chronic kidney disease due to hypertension' label='chronic kidney disease'"
"Chronic kidney disease due to other and unspecified causes","MONDO:0000001","lexical","search='Chronic kidney disease due to other and unspecified causes' label='disease'"
"Chronic kidney disease due to other and unspecified causes","MONDO:0005300","legacy_second_part|lexical","search='Chronic kidney disease due to other and unspecified causes' label='chronic kidney disease' ;; source_col=MAPPED_TRAIT_URI...4 raw=MONDO:0005300"
"Chronic lymphoid leukemia","MONDO:0005059","lexical","search='Chronic lymphoid leukemia' label='leukemia'"
"Chronic lymphoid leukemia","MONDO:0005402","lexical","search='Chronic lymphoid leukemia' label='lymphoid leukemia'"
"Chronic myeloid leukemia","MONDO:0004643","lexical","search='Chronic myeloid leukemia' label='myeloid leukemia'"
"Chronic myeloid leukemia","MONDO:0005059","lexical","search='Chronic myeloid leukemia' label='leukemia'"
"Chronic myeloid leukemia","MONDO:0011996","lexical","search='Chronic myeloid leukemia' label='chronic myeloid leukemia'"
"Chronic obstructive pulmonary disease","MONDO:0000001","lexical","search='Chronic obstructive pulmonary disease' label='disease'"
"Chronic obstructive pulmonary disease","MONDO:0005002","legacy_first_part|lexical","search='Chronic obstructive pulmonary disease' label='chronic obstructive pulmonary disease' ;; source_col=EFO 2 raw=MONDO:0005002"
"Chronic obstructive pulmonary disease","OBA:2055786","lexical","search='Chronic obstructive pulmonary disease' label='age of onset of chronic obstructive pulmonary disease'"
"Cirrhosis and other chronic liver diseases","MONDO:0000001","lexical","search='Cirrhosis and other chronic liver diseases' label='disease'"
