GBD.term,total_attention_score,weighted_nhits,weighted_attention_score_impact_factor,weighted_n,nhit
Non-melanoma skin cancer (basal-cell carcinoma),975723.945,409.78219643652,186.411782999392,267653.847120737,947
Soft tissue and other extraosseous sarcomas,17227,0.00882266817260486,0.807979952733989,15.1267175623907,10
Malignant neoplasm of bone and articular cartilage,6647,0.00441133408630243,0.473204611006055,5.81035734816953,5
Breast cancer,11638842,1738.29679228611,1729.63895989069,2445071.23794585,3112
Cervical cancer,294515,94.6177785055838,170.65111548171,45690.9619179613,282
Uterine cancer,2950076,27.9866425192512,45.7552581886856,276889.387568668,122
Ovarian cancer,3680608,288.841161365074,430.59067530602,662809.05404842,824
Prostate cancer,3224612,2965.52144745273,1776.6732071287,1605209.16301891,4156
Testicular cancer,19045,41.8,222.423742010201,10615.1340323076,57
Kidney cancer,55983,0.511249852638624,2.87382816419869,361.264136879097,23
Bladder cancer,191817,60.5695022798231,346.370892790295,47249.2246399984,162
Brain and central nervous system cancer,66829,59.6823278533916,192.846436407458,26672.6007508974,122
Retinoblastoma,910,0,0.0922197266096701,0.768975510795537,0
Other eye cancers,12770,30.75,16.603908038298,4821.26486295668,60
Neuroblastoma and other peripheral nervous cell tumors,30434,111,355.9,21673,119
Thyroid cancer,1378089,71.0469286656544,260.206986253243,97088.530261971,258
Mesothelioma,1850,0,15.6549169859515,1640.26819923372,0
Hodgkin lymphoma,59888,89.3184234858992,118.411552284094,31959.2752037608,152
Burkitt lymphoma,800,3,18.1,800,3
Other non-Hodgkin lymphoma,112245,25.6345084214649,221.599173847537,22310.9044976673,62
Multiple myeloma,116079,153.215553266588,244.532707372435,61735.8292596834,229
Acute lymphoid leukemia,399903,146.529386796469,441.323838692061,68290.8503591225,289
Chronic lymphoid leukemia,104480,143.003667417808,190.192294768326,31890.5046440757,292
Acute myeloid leukemia,25037,1754.50801360668,121.443434511071,17350.2869446884,1764
Chronic myeloid leukemia,6001,2.00683851855232,24.0732046110061,674.737712585749,10
Other leukemia,19854,0.0125019489730338,0.411542164539901,17.357820056592,15
Other malignant neoplasms,263098,0.0211706007400393,4.98696845075701,264.356092565429,23
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",42292,57.0103584613927,137.180350293923,6008.67167470162,69
Benign and in situ intestinal neoplasms,602591,0.0670750953570709,3.22651022737977,556.043914121436,82
Benign and in situ cervical and uterine neoplasms,57129,4.01034940005821,63.198416096768,4433.27881183804,10
Other benign and in situ neoplasms,407507,79.2960840075657,185.951266898907,36000.9204971881,146
Rheumatic heart disease,45478,17.0204395364679,100.087955881439,3570.73164492381,29
Ischemic heart disease,679417,1.10680561926986,10.7984067707502,6350.72854324768,193
Ischemic stroke,3614139,402.650166025497,812.319753998268,2304675.39561131,914
Intracerebral hemorrhage,101424,21.3161999707642,96.5029608444316,8552.94131624197,93
Subarachnoid hemorrhage,61874,0.151947661926605,13.9333091490561,735.910873005318,23
Hypertensive heart disease,315274,0.0128679756159706,0.823861303712974,278.766776676611,15
Non-rheumatic calcific aortic valve disease,171949,35.0157381949277,169.853778438818,45115.2111601563,89
Non-rheumatic degenerative mitral valve disease,12959,28.5,91.6558441558442,8178.70173160173,39
Other non-rheumatic valve diseases,25730,0.00845664152966812,1.00996737753835,35.4408427219274,10
Myocarditis,1137,2.00117508813161,6.21793295566819,20.6876850818191,5
Alcoholic cardiomyopathy,193862,0.618770354219663,13.4762404957313,1540.52908795649,56
Other cardiomyopathy,5194,5,29.65,2645,5
Pulmonary Arterial Hypertension,23944,14.0019841496203,137.253643909692,3785.8226536069,16
Atrial fibrillation and flutter,4723230,2195.57162314714,1075.53188657306,2134127.91815377,3196
Aortic aneurysm,308755,210.462747198657,324.287107421654,106007.851394147,370
Lower extremity peripheral arterial disease,4965064,115.06238464378,84.5675655716832,606307.692976867,271
Endocarditis,14337,0.00441133408630243,10.6913421253894,235.428217930386,5
Other cardiovascular and circulatory diseases,2543944,107.448494298532,163.121761101321,129825.179796288,566
Chronic obstructive pulmonary disease,4269845,841.49247586553,529.914567880839,893204.796440473,1285
Silicosis,0,0,0,0,0
Asbestosis,0,0,0,0,0
Coal workers pneumoconiosis,0,0,0,0,0
Other pneumoconiosis,6900,1.5,4.19870525418577,354.128277568534,3
Asthma,11157417,1639.35314018932,1949.71804319091,1899797.32807721,4055
Interstitial lung disease and pulmonary sarcoidosis,331302,404.460484469245,802.510825400399,125251.950186628,488
Other chronic respiratory diseases,2473165,8.3925466211138,8.29882603266838,39196.1334299962,316
Cirrhosis and other chronic liver diseases,1250295,472.480598938838,945.981651609664,955306.007026308,718
Chronic hepatitis B including cirrhosis,101779,53.515697809288,186.106399261665,53518.327854077,70
Chronic hepatitis C including cirrhosis,233998,45.6036749747431,526.386904655971,27835.5103512883,78
Cirrhosis due to alcohol,293575,51.5127571840399,250.743041520184,41731.5547774897,134
Nonalcoholic fatty liver disease including cirrhosis,980190,367.260432802894,413.982970416596,907007.116362646,525
Cirrhosis due to other causes,282027,33.5127571840399,168.776374853518,33084.2214441564,114
Peptic ulcer disease,2104180,62.9970018566866,195.889048429784,239841.792219706,316
Gastritis and duodenitis,682195,7.67238205133609,11.7288170475842,9348.16258584495,33
Gastroesophageal reflux disease,4883358,107.37745965858,71.7923505937615,586104.673453236,511
Appendicitis,236344,23.1569002066047,54.9325849004869,17420.7259409919,41
Paralytic ileus and intestinal obstruction,133528,0.00757057183819531,2.32853808003156,151.965997600251,8
"Inguinal, femoral, and abdominal hernia",1432599,756.102589442161,113.215569142291,181608.692871353,2882
Ulcerative colitis,1572714,476.335451826625,780.993582755191,230577.330135891,1325
Crohn's disease,1546174,644.594815520776,820.781965951109,242589.80473065,1616
Vascular intestinal disorders,686250,0.116285198423021,5.47758879021593,1093.93058124202,69
Gallbladder and biliary diseases,191837,270.633679162179,99.8485831325773,41845.5549629112,307
Pancreatitis,113500,200.61622206226,174.002514619349,21894.6803190561,226
